load_kg,tick,time_s,valid_repeats,cop_mean_m,cop_std_m,com_mean_m,com_std_m,trunk_mean_rad,trunk_std_rad
60,65,0.65,3,-0.07998287,0,0.0138097284,0,-0.116338171,7.450581E-09
60,66,0.66,3,-0.0799155459,0,0.0165845864,0,-0.119317554,7.450581E-09
60,67,0.67,3,-0.08180769,0,0.0194068644,0,-0.122327842,0
60,68,0.68,3,-0.08344323,0,0.02227944,0,-0.125239611,0
60,69,0.69000000000000006,3,-0.0845487043,0,0.0252065416,0,-0.128418744,0
60,70,0.70000000000000007,3,-0.08483081,0,0.028192604,0,-0.132194176,0
60,71,0.71,3,-0.08495597,7.450581E-09,0.0312326048,1.86264515E-09,-0.135461882,0
60,72,0.72,3,-0.0863364,0,0.0343121625,0,-0.135620758,0
60,73,0.73,3,-0.08895933,0,0.03748765,0,-0.13865374,0
60,74,0.74,3,-0.08592138,0,0.04075711,0,-0.1421251,0
60,75,0.75,3,-0.08236707,0,0.04406594,0,-0.144613147,0
60,76,0.76,0,0,0,0,0,0,0
60,77,0.77,0,0,0,0,0,0,0
60,78,0.78,0,0,0,0,0,0,0
60,79,0.79,0,0,0,0,0,0,0
60,80,0.8,0,0,0,0,0,0,0
60,81,0.81,0,0,0,0,0,0,0
60,82,0.82000000000000006,0,0,0,0,0,0,0
60,83,0.83000000000000007,0,0,0,0,0,0,0
60,84,0.84,0,0,0,0,0,0,0
60,85,0.85,0,0,0,0,0,0,0
60,86,0.86,0,0,0,0,0,0,0
60,87,0.87,0,0,0,0,0,0,0
60,88,0.88,0,0,0,0,0,0,0
60,89,0.89,0,0,0,0,0,0,0
60,90,0.9,0,0,0,0,0,0,0
60,91,0.91,0,0,0,0,0,0,0
60,92,0.92,0,0,0,0,0,0,0
60,93,0.93,0,0,0,0,0,0,0
60,94,0.94000000000000006,0,0,0,0,0,0,0
60,95,0.95000000000000007,0,0,0,0,0,0,0
60,96,0.96,0,0,0,0,0,0,0
60,97,0.97,0,0,0,0,0,0,0
60,98,0.98,0,0,0,0,0,0,0
60,99,0.99,0,0,0,0,0,0,0
60,100,1,0,0,0,0,0,0,0
60,101,1.01,0,0,0,0,0,0,0
60,102,1.02,0,0,0,0,0,0,0
60,103,1.03,0,0,0,0,0,0,0
60,104,1.04,0,0,0,0,0,0,0
60,105,1.05,0,0,0,0,0,0,0
60,106,1.06,0,0,0,0,0,0,0
60,107,1.07,0,0,0,0,0,0,0
60,108,1.08,0,0,0,0,0,0,0
60,109,1.09,0,0,0,0,0,0,0
60,110,1.1,0,0,0,0,0,0,0
60,111,1.11,0,0,0,0,0,0,0
60,112,1.12,0,0,0,0,0,0,0
60,113,1.1300000000000001,0,0,0,0,0,0,0
60,114,1.1400000000000001,0,0,0,0,0,0,0
60,115,1.1500000000000001,0,0,0,0,0,0,0
60,116,1.16,0,0,0,0,0,0,0
60,117,1.17,0,0,0,0,0,0,0
60,118,1.18,0,0,0,0,0,0,0
60,119,1.19,0,0,0,0,0,0,0
60,120,1.2,0,0,0,0,0,0,0
60,121,1.21,0,0,0,0,0,0,0
60,122,1.22,0,0,0,0,0,0,0
60,123,1.23,0,0,0,0,0,0,0
60,124,1.24,0,0,0,0,0,0,0
60,125,1.25,0,0,0,0,0,0,0
60,126,1.26,0,0,0,0,0,0,0
60,127,1.27,0,0,0,0,0,0,0
60,128,1.28,0,0,0,0,0,0,0
60,129,1.29,0,0,0,0,0,0,0
60,130,1.3,0,0,0,0,0,0,0
60,131,1.31,0,0,0,0,0,0,0
60,132,1.32,0,0,0,0,0,0,0
60,133,1.33,0,0,0,0,0,0,0
60,134,1.34,0,0,0,0,0,0,0
60,135,1.35,0,0,0,0,0,0,0
60,136,1.36,0,0,0,0,0,0,0
60,137,1.37,0,0,0,0,0,0,0
60,138,1.3800000000000001,0,0,0,0,0,0,0
60,139,1.3900000000000001,0,0,0,0,0,0,0
60,140,1.4000000000000001,0,0,0,0,0,0,0
60,141,1.41,0,0,0,0,0,0,0
60,142,1.42,0,0,0,0,0,0,0
60,143,1.43,0,0,0,0,0,0,0
60,144,1.44,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0
140,1,0.01,0,0,0,0,0,0,0
140,2,0.02,0,0,0,0,0,0,0
140,3,0.03,0,0,0,0,0,0,0
140,4,0.04,0,0,0,0,0,0,0
140,5,0.05,3,-0.10556522,0,-0.08109226,0,-0.04794086,3.7252903E-09
140,6,0.06,3,-0.09667335,7.450581E-09,-0.0815337,0,-0.06397833,0
140,7,0.07,3,-0.08467802,7.450581E-09,-0.08195359,0,-0.079923965,0
140,8,0.08,3,-0.08414737,0,-0.0823036656,0,-0.09334644,0
140,9,0.09,3,-0.08539627,0,-0.08256961,0,-0.105220489,0
140,10,0.1,3,-0.08652655,7.450581E-09,-0.08274207,0,-0.114428304,7.450581E-09
140,11,0.11,3,-0.08770429,0,-0.08282289,0,-0.122258894,0
140,12,0.12,3,-0.08860919,0,-0.0828199238,0,-0.127630576,0
140,13,0.13,3,-0.08939335,0,-0.08274558,0,-0.1312374,0
140,14,0.14,3,-0.0900213942,7.450581E-09,-0.08261234,0,-0.134519041,0
140,15,0.15,3,-0.09019341,7.450581E-09,-0.0824305043,0,-0.135854751,0
140,16,0.16,3,-0.09037364,0,-0.08221097,0,-0.1361141,0
140,17,0.17,3,-0.0903589651,0,-0.0819684938,0,-0.136698961,0
140,18,0.18,3,-0.0904983655,0,-0.08169751,0,-0.136097923,0
140,19,0.19,3,-0.09073254,7.450581E-09,-0.0814159438,0,-0.135010257,0
140,20,0.2,3,-0.0906724,0,-0.08111802,0,-0.134581044,0
140,21,0.21,3,-0.09035495,0,-0.0808129162,0,-0.133309856,0
140,22,0.22,3,-0.08988633,0,-0.0805030242,0,-0.131790087,0
140,23,0.23,3,-0.0893409,7.450581E-09,-0.08019198,0,-0.130958274,0
140,24,0.24,3,-0.0886214748,7.450581E-09,-0.07988084,0,-0.130329117,0
140,25,0.25,3,-0.08806934,0,-0.0795690343,0,-0.1295074,0
140,26,0.26,3,-0.08778425,0,-0.07925647,0,-0.12856698,0
140,27,0.27,3,-0.08761362,0,-0.0789438263,0,-0.1274947,0
140,28,0.28,3,-0.08746191,7.450581E-09,-0.07863079,0,-0.127099857,0
140,29,0.29,3,-0.08740496,0,-0.0783162341,0,-0.127080068,0
140,30,0.3,3,-0.08734104,0,-0.07799928,0,-0.127085716,0
140,31,0.31,3,-0.08720156,7.450581E-09,-0.0776800439,0,-0.127119422,0
140,32,0.32,3,-0.08695064,0,-0.0773588344,0,-0.127124488,0
140,33,0.33,3,-0.0868885145,7.450581E-09,-0.0770352557,0,-0.126470253,0
140,34,0.34,3,-0.08714658,0,-0.076708965,0,-0.126245528,0
140,35,0.35000000000000003,3,-0.08750299,7.450581E-09,-0.07637828,0,-0.126331329,0
140,36,0.36,3,-0.0877831951,7.450581E-09,-0.07604082,0,-0.12657167,0
140,37,0.37,3,-0.08793938,0,-0.07569655,0,-0.126864985,0
140,38,0.38,3,-0.08805596,0,-0.07534294,0,-0.127175018,0
140,39,0.39,3,-0.0884245858,7.450581E-09,-0.0749757141,0,-0.127441764,0
140,40,0.4,3,-0.08837923,0,-0.07460388,0,-0.127542943,0
140,41,0.41000000000000003,3,-0.0884625,0,-0.07421797,0,-0.127234772,0
140,42,0.42,3,-0.08844916,7.450581E-09,-0.0738296062,0,-0.127418965,0
140,43,0.43,3,-0.08846869,0,-0.073431246,0,-0.12767455,0
140,44,0.44,3,-0.08869216,0,-0.07302221,0,-0.128056541,0
140,45,0.45,3,-0.08885025,0,-0.07260076,0,-0.128469259,0
140,46,0.46,3,-0.08896419,7.450581E-09,-0.07216614,0,-0.128994122,0
140,47,0.47000000000000003,3,-0.08905896,7.450581E-09,-0.07171787,0,-0.129548222,0
140,48,0.48,3,-0.08913592,7.450581E-09,-0.07125565,0,-0.129927948,0
140,49,0.49,3,-0.08918518,0,-0.070779644,0,-0.1300899,0
140,50,0.5,3,-0.08927364,0,-0.07029061,0,-0.130253,0
140,51,0.51,3,-0.089330636,0,-0.06978879,0,-0.130586416,0
140,52,0.52,3,-0.08939842,0,-0.0692730248,0,-0.131160825,0
140,53,0.53,3,-0.08952394,0,-0.06874176,0,-0.1319027,0
140,54,0.54,3,-0.08987852,7.450581E-09,-0.06819327,0,-0.132772386,0
140,55,0.55,3,-0.09012859,0,-0.06762624,0,-0.133752272,0
140,56,0.56,3,-0.09025661,7.450581E-09,-0.06703959,0,-0.134806067,0
140,57,0.57000000000000006,3,-0.09025102,0,-0.0664326251,0,-0.135905966,0
140,58,0.58,3,-0.09013465,0,-0.065804854,0,-0.137026072,0
140,59,0.59,3,-0.08994526,0,-0.06515591,0,-0.1381604,0
140,60,0.6,3,-0.08969969,0,-0.06448544,0,-0.13928996,0
140,61,0.61,3,-0.08943022,0,-0.0637931,0,-0.14041768,0
140,62,0.62,3,-0.08914402,0,-0.06307855,0,-0.141527489,0
140,63,0.63,3,-0.0888482854,0,-0.0623414367,0,-0.142618909,0
140,64,0.64,3,-0.08854521,0,-0.06158142,3.7252903E-09,-0.143688172,0
