load_kg,tick,lifecycle,state,bar_y,trunk_pitch,com_z,support_ap_min,support_ap_max,has_support,max_demand,ankle_offset,hip_offset,trunk_offset,guard_scale,abdomen_actual,abdomen_ref,abdomen_drive_err,abdomen_demand,thorax_actual,thorax_ref,thorax_drive_err,thorax_demand,left_thigh_actual,left_thigh_demand,left_shank_actual,left_shank_demand,left_foot_actual,left_foot_demand,abdomen_maxforce
60,81,START_WINDOW,SETUP,1.22309,1.14785,-0.10679,-0.15812,0.13351,True,0.8217,0,-0.12217,0.07052,0,-0.35801,0.07052,0.42227,0.17567,-0.27278,0.07052,0.34029,0.14598,0.0562,0.04397,0.08657,0.02993,-0.06263,0.1003,2371.2
60,91,START_WINDOW,SETUP,1.24279,1.24777,-0.13828,-0.16072,0.13308,True,1.44144,0,-0.12217,0.10458,0,-0.30898,0.10458,0.40439,0.18977,-0.22516,0.10458,0.32542,0.15855,0.03441,0.04719,0.08075,0.0328,-0.00969,0.11932,2371.2
60,101,START_WINDOW,SETUP,1.26404,1.28116,-0.18004,-0.16072,0.1321,True,1.49769,0.01376,-0.00217,0,0.58781,-0.23602,0.05071,0.27866,0.16528,-0.161,0.05071,0.2069,0.16768,0.01969,0.0509,0.06918,0.02746,0.04409,0.12703,2371.2
60,111,START_WINDOW,SETUP,1.26975,1.44329,-0.23253,-0.16581,0.14589,True,1.06807,0.04769,0,0,0.69098,-0.17885,0,0.17279,0.14721,-0.12914,0,0.12415,0.17661,0.04864,0.06801,0.05687,0.03327,0.12082,0.1554,2371.2
60,121,START_WINDOW,SETUP,1.24763,1.85952,-0.30233,-0.1622,0.13296,True,1.27746,-0.15196,0,0,0.75346,-0.14795,0,0.14251,0.14975,-0.10165,0,0.09694,0.16085,0.07221,0.07358,0.07348,0.04007,0.20335,0.19747,2371.2
60,131,START_WINDOW,SETUP,1.19997,2.15247,-0.39361,-0.15935,0.13607,True,1.21685,-0.23589,-0.12217,0.10472,0.58924,-0.16795,0.10472,0.267,0.17032,-0.06464,0.10472,0.16577,0.15514,0.0653,0.08877,0.10808,0.05391,0.30702,0.21738,2371.2
60,141,START_WINDOW,SETUP,1.11991,2.09222,-0.51632,-0.16337,0.12798,True,1.06848,-0.2618,-0.12217,0.10472,0.72363,-0.16678,0.10471,0.26583,0.16326,-0.01218,0.10471,0.11411,0.1627,0.06926,0.09093,0.14715,0.05937,0.41955,0.24322,2371.2
60,151,START_WINDOW,SETUP,1.07353,2.10498,-0.65988,-0.13817,-0.0501,True,1.21066,0.0582,-0.12217,0.10472,0.74988,-0.12554,0.07198,0.19365,0.09552,0,0.07198,0.06983,0.12639,0.05151,0.03065,0.10045,0.00109,0.34602,0.00371,2371.2
60,161,START_WINDOW,SETUP,1.07092,2.17285,-0.78453,NA,NA,False,1.10557,0,0,0,0.81227,-0.05735,0,0.0569,0.09236,0.01484,0,-0.01467,0.11514,0.00239,0.01831,0.03765,0.00142,0.13795,0.00118,2371.2
60,171,START_WINDOW,SETUP,1.04671,2.17631,-0.90557,NA,NA,False,1.24296,0,0,0,0.81227,-0.04281,0,0.04257,0.07343,-0.00557,0,0.00551,0.09325,0.01814,0.01922,0.01991,0.00252,0.06065,0.00112,2371.2
