tick,time,barY,standRefY,heightDeficit,barVelY,barSpeed,barAngSpeed,lKnee,rKnee,maxKnee,lHip,rHip,maxHip,trunk,completionRegion,linStill,angStill,kneesQ,hipsQ,trunkQ,physicalLockout,state,sq,demand,drive01
746,7.460000,1.352774,1.403096,0.050322,0.178140,0.182536,0.351595,0.747372,0.769844,0.769844,-0.638677,-0.651145,0.651145,0.236822,0,0,0,0,0,0,0,ASCENT,0.216997,0.238762,0.000000
747,7.470000,1.354492,1.403096,0.048604,0.174718,0.179209,0.356014,0.738309,0.760829,0.760829,-0.630089,-0.642550,0.642550,0.232955,1,0,0,0,0,0,0,ASCENT,0.213997,0.238937,0.000000
748,7.480000,1.356176,1.403096,0.046920,0.171704,0.176270,0.353732,0.729313,0.751902,0.751902,-0.621643,-0.634129,0.634129,0.229109,1,0,0,0,0,0,0,ASCENT,0.210997,0.238867,0.000000
749,7.490000,1.357826,1.403096,0.045270,0.168026,0.172679,0.356627,0.720280,0.742908,0.742908,-0.613086,-0.625564,0.625564,0.225243,1,0,0,0,0,0,0,ASCENT,0.207997,0.239047,0.000000
750,7.500000,1.359442,1.403096,0.043654,0.164959,0.169686,0.354305,0.711341,0.734035,0.734035,-0.604681,-0.617186,0.617186,0.221399,1,0,0,0,0,0,0,ASCENT,0.204997,0.238952,0.000000
751,7.510000,1.361021,1.403096,0.042075,0.160963,0.165790,0.357820,0.702454,0.725186,0.725186,-0.596305,-0.608803,0.608803,0.217531,1,0,0,0,0,0,0,ASCENT,0.201997,0.239104,0.000000
752,7.520000,1.362567,1.403096,0.040529,0.158032,0.162924,0.354414,0.693586,0.716375,0.716375,-0.587965,-0.600488,0.600488,0.213698,1,0,0,0,0,0,0,ASCENT,0.198997,0.239021,0.000000
753,7.530000,1.364078,1.403096,0.039018,0.154253,0.159243,0.358050,0.684789,0.707609,0.707609,-0.579655,-0.592170,0.592170,0.209838,1,0,0,0,0,0,0,ASCENT,0.195997,0.239168,0.000000
754,7.540000,1.365556,1.403096,0.037540,0.151205,0.156267,0.355594,0.676079,0.698950,0.698950,-0.571504,-0.584042,0.584042,0.206003,1,0,0,0,0,0,0,ASCENT,0.192997,0.239073,0.000000
755,7.550000,1.367001,1.403096,0.036095,0.147749,0.152894,0.357697,0.667367,0.690258,0.690258,-0.563280,-0.575805,0.575805,0.202159,1,0,0,0,0,0,0,ASCENT,0.189997,0.239235,0.000000
756,7.560000,1.368416,1.403096,0.034680,0.145086,0.150294,0.355292,0.658742,0.681675,0.681675,-0.555212,-0.567754,0.567754,0.198340,1,0,0,0,0,0,0,ASCENT,0.186997,0.239144,0.000000
757,7.570000,1.369801,1.403096,0.033295,0.141699,0.146970,0.357453,0.650177,0.673122,0.673122,-0.547184,-0.559709,0.559709,0.194504,1,0,0,0,0,0,0,ASCENT,0.183997,0.239321,0.000000
