tick,time,state,sq,knee_cmd_rate,knee_fd_rate,knee_rate_diff,knee_ref_accel,hip_cmd_rate,hip_fd_rate,hip_rate_diff,hip_ref_accel,ankle_nom_cmd_rate,ankle_nom_fd_rate,ankle_nom_diff
375,3.750,ASCENT,0.9640,-22.44,-22.44,0.00,10.2,20.77,23.87,3.11,-9.8,3.10,3.10,0.01
376,3.760,ASCENT,0.9610,-22.44,-22.44,0.00,9.3,20.77,23.66,2.89,-9.0,3.08,3.10,0.03
377,3.770,ASCENT,0.9580,-22.14,-22.24,0.10,8.4,20.48,23.27,2.79,-8.1,3.06,3.07,0.00
378,3.780,ASCENT,0.9550,-22.14,-22.14,0.00,7.6,20.48,23.09,2.62,-7.2,3.05,3.04,0.00
379,3.790,ASCENT,0.9520,-22.14,-22.14,0.00,6.7,20.48,22.50,2.02,-6.4,3.03,3.05,0.02
380,3.800,ASCENT,0.9490,-21.93,-22.07,0.13,5.8,20.29,22.16,1.87,-5.5,3.02,3.04,0.02
381,3.810,ASCENT,0.9460,-21.93,-21.94,0.00,4.9,20.29,21.73,1.45,-4.6,3.01,3.01,0.01
382,3.820,ASCENT,0.9430,-21.93,-21.93,0.00,4.0,20.29,21.00,0.71,-3.8,3.01,3.01,0.01
383,3.830,ASCENT,0.9400,-21.83,-21.94,0.10,3.1,20.19,20.53,0.34,-2.9,3.00,3.01,0.01
384,3.840,ASCENT,0.9370,-21.83,-21.83,0.00,2.2,20.19,19.99,0.20,-2.0,3.00,2.99,0.00
385,3.850,ASCENT,0.9340,-21.83,-21.83,0.00,1.3,20.19,19.27,0.92,-1.2,2.99,3.00,0.00
386,3.860,ASCENT,0.9310,-21.83,-21.83,0.00,0.4,20.19,0.55,19.64,-0.3,3.00,3.00,0.00
387,3.870,ASCENT,0.9280,-21.83,-21.83,0.00,-0.4,20.19,20.19,0.00,0.6,3.00,3.00,0.00
388,3.880,ASCENT,0.9250,-21.83,-21.83,0.00,-1.3,20.19,20.19,0.00,1.4,3.00,3.00,0.00
389,3.890,ASCENT,0.9220,-21.83,-21.83,0.00,-2.2,20.19,20.19,0.00,2.3,3.01,3.00,0.01
390,3.900,ASCENT,0.9190,-21.92,-21.86,0.06,-3.1,20.29,20.22,0.06,3.2,3.02,3.01,0.00
391,3.910,ASCENT,0.9160,-21.92,-21.92,0.00,-4.0,20.29,20.29,0.00,4.0,3.02,3.03,0.00
392,3.920,ASCENT,0.9130,-21.92,-21.92,0.00,-4.9,20.29,20.29,0.00,4.9,3.04,3.03,0.01
393,3.930,ASCENT,0.9100,-22.11,-21.92,0.19,-5.8,20.48,20.29,0.19,5.8,3.05,3.03,0.02
394,3.940,ASCENT,0.9070,-22.11,-22.11,0.00,-6.7,20.48,20.48,0.00,6.6,3.07,3.08,0.01
395,3.950,ASCENT,0.9040,-22.11,-22.11,0.00,-7.6,20.48,20.48,0.00,7.5,3.08,3.08,0.01
396,3.960,ASCENT,0.9010,-22.11,-22.11,0.00,-8.4,20.48,20.48,0.00,8.4,3.10,3.08,0.02
397,3.970,ASCENT,0.8980,-22.40,-22.31,0.10,-9.3,20.77,20.67,0.10,9.2,3.12,3.12,0.00
398,3.980,ASCENT,0.8950,-22.40,-22.40,0.00,-10.2,20.77,20.77,0.00,10.1,3.15,3.15,0.00
399,3.990,ASCENT,0.8920,-22.40,-22.41,0.00,-11.1,20.77,20.77,0.00,11.0,3.17,3.15,0.02
400,4.000,ASCENT,0.8890,-22.79,-22.53,0.26,-12.0,21.15,20.90,0.26,11.8,3.20,3.18,0.02
401,4.010,ASCENT,0.8860,-22.79,-22.80,0.00,-12.9,21.15,21.15,0.00,12.7,3.23,3.23,0.01
402,4.020,ASCENT,0.8830,-22.79,-22.79,0.00,-13.8,21.15,21.15,0.00,13.6,3.26,3.24,0.02
403,4.030,ASCENT,0.8800,-23.28,-22.80,0.49,-14.7,21.64,21.15,0.48,14.4,3.29,3.23,0.05
404,4.040,ASCENT,0.8770,-23.28,-23.28,0.00,-15.6,21.64,21.64,0.00,15.3,3.32,3.35,0.03
405,4.050,ASCENT,0.8740,-23.28,-23.28,0.00,-16.4,21.64,21.63,0.00,16.2,3.36,3.35,0.01
406,4.060,ASCENT,0.8710,-23.28,-23.28,0.00,-17.3,21.64,21.64,0.00,17.0,3.40,3.35,0.05
407,4.070,ASCENT,0.8680,-23.87,-23.67,0.20,-18.2,22.21,22.02,0.19,17.9,3.44,3.44,0.00
408,4.080,ASCENT,0.8650,-23.87,-23.87,0.00,-19.1,22.21,22.21,0.00,18.8,3.48,3.48,0.00
409,4.090,ASCENT,0.8620,-23.87,-23.87,0.00,-20.0,22.21,22.21,0.00,19.6,3.52,3.48,0.04
410,4.100,ASCENT,0.8590,-24.56,-24.10,0.46,-20.9,22.89,22.44,0.45,20.5,3.57,3.53,0.03
411,4.110,ASCENT,0.8560,-24.56,-24.56,0.00,-21.8,22.89,22.89,0.00,21.4,3.62,3.63,0.01
412,4.120,ASCENT,0.8530,-24.56,-24.56,0.00,-22.7,22.89,22.89,0.00,22.2,3.67,3.63,0.03
413,4.130,ASCENT,0.8500,-25.34,-24.56,0.78,-23.6,23.66,22.89,0.77,23.1,3.72,3.63,0.08
414,4.140,ASCENT,0.8470,-25.34,-25.34,0.00,-24.4,23.66,23.66,0.00,24.0,3.77,3.81,0.04
415,4.150,ASCENT,0.8440,-25.34,-25.34,0.00,-25.3,23.66,23.66,0.00,24.8,3.82,3.81,0.01
416,4.160,ASCENT,0.8410,-25.34,-25.34,0.00,-26.2,23.66,23.66,0.00,25.7,3.88,3.81,0.07
417,4.170,ASCENT,0.8380,-26.23,-25.93,0.30,-27.1,24.52,24.23,0.29,26.6,3.94,3.93,0.01
418,4.180,ASCENT,0.8350,-26.23,-26.23,0.00,-28.0,24.52,24.52,0.00,27.4,4.00,4.00,0.00
419,4.190,ASCENT,0.8320,-26.23,-26.23,0.00,-28.9,24.52,24.52,0.00,28.3,4.06,4.00,0.07
420,4.200,ASCENT,0.8290,-27.21,-26.55,0.65,-29.8,25.49,24.85,0.64,29.2,4.13,4.08,0.05
421,4.210,ASCENT,0.8260,-27.21,-27.21,0.00,-30.7,25.49,25.49,0.00,30.0,4.19,4.22,0.02
422,4.220,ASCENT,0.8230,-27.21,-27.21,0.00,-31.6,25.49,25.49,0.00,30.9,4.26,4.22,0.04
423,4.230,ASCENT,0.8200,-28.22,-27.21,1.01,-31.4,26.47,25.49,0.98,30.4,4.33,4.22,0.12
424,4.240,ASCENT,0.8170,-28.22,-28.22,0.00,-29.2,26.47,26.47,0.00,28.0,4.39,4.42,0.04
425,4.250,ASCENT,0.8140,-28.22,-28.22,0.00,-28.1,26.47,26.47,0.00,27.0,4.44,4.43,0.02
426,4.260,ASCENT,0.8110,-28.22,-28.22,0.00,-26.9,26.47,26.47,0.00,25.9,4.50,4.42,0.07
