tick,joint,actual_x_deg,applied_target_x_deg,nominal_x_deg,tracking_err_deg,command_offset_deg,reference_dev_deg,limit_proximity,demand,solver_torque_nm,max_force_nm
34,left_thigh,-4.93,-12.01,-12.01,7.08,0.00,7.08,0.041,0.057,0.0,2052.0
34,right_thigh,-5.03,-12.01,-12.01,6.98,0.00,6.98,0.042,0.057,0.0,2052.0
34,abdomen,-0.78,1.78,1.78,2.62,0.00,2.62,0.022,0.022,0.0,1482.0
34,thorax,-0.39,2.66,2.66,3.06,0.00,3.06,0.011,0.027,0.0,1482.0
36,left_foot,-2.62,1.85,-4.45,4.47,5.02,1.84,0.058,0.028,3.2,1710.0
36,right_foot,-2.73,1.85,-4.45,4.58,5.02,1.72,0.061,0.029,2.4,1710.0
36,left_shank,6.40,13.77,13.77,7.37,0.00,7.37,0.044,0.053,4.8,2052.0
36,right_shank,6.62,13.77,13.77,7.15,0.00,7.15,0.046,0.052,0.8,2052.0
36,left_thigh,-5.61,-12.74,-12.74,7.13,0.00,7.13,0.047,0.057,0.0,2052.0
36,right_thigh,-5.71,-12.74,-12.74,7.02,0.00,7.02,0.048,0.056,0.0,2052.0
36,abdomen,-0.61,1.89,1.89,2.56,0.00,2.56,0.017,0.021,0.0,1482.0
36,thorax,-0.21,2.83,2.83,3.03,0.00,3.03,0.006,0.026,0.0,1482.0
38,left_foot,-2.86,1.59,-4.71,4.46,5.02,1.85,0.064,0.028,3.2,1710.0
38,right_foot,-2.98,1.59,-4.71,4.57,5.02,1.73,0.066,0.029,2.4,1710.0
38,left_shank,7.17,14.56,14.56,7.39,0.00,7.39,0.049,0.052,4.8,2052.0
38,right_shank,7.40,14.56,14.56,7.16,0.00,7.16,0.051,0.051,0.8,2052.0
38,left_thigh,-6.30,-13.47,-13.47,7.17,0.00,7.17,0.053,0.057,0.0,2052.0
38,right_thigh,-6.41,-13.47,-13.47,7.06,0.00,7.06,0.053,0.056,0.0,2052.0
38,abdomen,-0.43,1.99,1.99,2.49,0.00,2.50,0.012,0.020,0.0,1482.0
38,thorax,0.00,2.99,2.99,3.00,0.00,3.00,0.000,0.025,0.0,1482.0
40,left_foot,-3.11,1.33,-4.96,4.45,5.02,1.86,0.069,0.028,3.2,1710.0
