load_kg,phase,hold_tick,posture_scale,limit_scale,posture_guard_scale,raw_ankle_deg,guarded_ankle_deg,applied_ankle_deg,raw_authority_fraction,guarded_authority_fraction,hip_blend_actual,hip_blend_from_raw,hip_offset_deg,trunk_offset_deg,posture_error_rad,posture_error_rate,limit_prox,limit_driver,com_ap,com_ref_ap,cop_desired,cop_measured,contacts
25,0.55,230,1.0000,0.8454,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.25446,0.00000,0.5964,left_thigh,1.0658,0.2504,0.1475,0.1443,0
25,0.55,240,1.0000,0.8454,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.25446,0.00000,0.5964,left_thigh,1.0658,0.2504,0.1475,0.1443,0
25,0.55,249,1.0000,0.8454,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.25446,0.00000,0.5964,left_thigh,1.0658,0.2504,0.1475,0.1443,0
25,0.80,0,0.0365,0.1239,0.0365,51.218,1.868,1.868,3.4145,0.1245,0.0000,1.0000,0.000,0.000,0.19595,0.16816,0.8128,right_thigh,-0.0192,-0.0484,0.0105,-0.0352,8
25,0.80,10,0.0000,0.0155,0.0000,95.517,0.000,0.000,6.3678,0.0000,0.0000,1.0000,0.000,0.000,0.20731,0.19249,0.8453,right_thigh,-0.0195,-0.0484,0.0298,-0.0554,8
25,0.80,20,0.0497,0.0000,0.0000,170.224,0.000,0.000,11.3483,0.0000,0.0000,1.0000,0.000,0.000,0.22685,0.16586,0.8625,right_thigh,-0.0154,-0.0484,0.0901,-0.0618,8
25,0.80,30,0.8587,0.0000,0.0000,174.702,0.000,0.000,11.6468,0.0000,0.0000,1.0000,0.000,0.000,0.23561,0.02466,0.8689,right_thigh,-0.0048,-0.0484,0.1053,-0.0506,8
25,0.80,40,1.0000,0.0000,0.0000,155.362,0.000,0.000,10.3575,0.0000,0.0000,1.0000,0.000,0.000,0.23249,-0.06466,0.8693,right_thigh,0.0122,-0.0484,0.1053,-0.0333,8
25,0.80,50,1.0000,0.0000,0.0000,132.517,0.000,0.000,8.8345,0.0000,0.0000,1.0000,0.000,0.000,0.22496,-0.07316,0.8680,right_thigh,0.0350,-0.0484,0.1053,-0.0129,8
25,0.80,60,1.0000,0.0000,0.0000,107.803,0.000,0.000,7.1868,0.0000,0.0000,1.0000,0.000,0.000,0.21973,-0.03064,0.8671,right_thigh,0.0633,-0.0484,0.1053,0.0091,8
25,0.80,70,0.8784,0.0000,0.0000,79.648,0.000,0.000,5.3098,0.0000,0.0000,1.0000,0.000,0.000,0.21957,0.02123,0.8675,right_thigh,0.0974,-0.0484,0.1053,0.0342,8
25,0.80,80,0.6791,0.0000,0.0000,44.498,0.000,0.000,2.9665,0.0000,0.0000,1.0000,0.000,0.000,0.22382,0.05601,0.8688,right_thigh,0.1383,-0.0484,0.1053,0.0656,8
25,0.80,90,0.0000,0.0000,0.0000,-33.015,0.000,0.000,2.2010,0.0000,0.0000,1.0000,0.000,0.000,0.24138,0.32858,0.8737,right_thigh,0.1862,-0.0492,0.1050,0.1344,8
25,0.80,100,0.0000,0.0000,0.0000,0.176,0.000,0.000,0.0117,0.0000,0.0000,0.0000,0.000,0.000,0.27132,0.25424,0.8808,right_thigh,0.2402,0.0953,0.1342,0.1340,4
25,0.80,110,0.4962,0.0000,0.0000,0.114,0.000,0.000,0.0076,0.0000,0.0000,0.0000,0.000,0.000,0.28801,0.08793,0.8824,right_thigh,0.3090,0.0945,0.1334,0.1333,4
25,0.80,120,1.0000,0.0000,0.0000,-0.007,0.000,0.000,0.0004,0.0000,0.0000,0.0000,0.000,0.000,0.28274,-0.17981,0.8777,right_thigh,0.4008,0.0930,0.1322,0.1322,4
25,0.80,130,1.0000,0.0000,0.0000,-11.588,0.000,0.000,0.7725,0.0000,0.0000,0.0000,0.000,0.000,0.24545,-0.56401,0.8645,right_thigh,0.5222,0.0794,0.1214,0.1318,6
25,0.80,140,1.0000,0.0277,0.0277,11.497,0.318,0.318,0.7664,0.0212,0.0000,0.0000,0.000,0.000,0.16365,-1.03456,0.8417,right_thigh,0.6717,0.0996,0.1412,0.1310,8
