load_kg,config,phase,guard_scale,limit_prox,unexpected_consumed,raw_ankle_deg,applied_ankle_deg,raw_authority,guarded_authority,hip_blend,com_ap,cop_desired,cop_measured,support_min,support_max,com_speed,contacts,held,reason
0,G2+raw,1.00,0.4081,0.9694,0.5919,11.111,4.530,0.7408,0.3023,0.0000,-0.02606,-0.01938,-0.02929,-0.15472,0.13528,0.00024,8,1,HELD
0,G2+raw+gain,0.55,0.6037,0.6099,0.1612,6.190,3.737,0.4127,0.2491,0.0000,-0.02730,-0.01967,-0.03007,-0.15472,0.13528,0.00074,8,1,HELD
0,G2+raw+gain,0.55,0.3665,0.6782,0.2175,28.300,10.371,1.8867,0.6914,1.0000,-0.02433,0.02788,-0.01968,-0.15472,0.13528,0.04291,8,1,HELD
0,G2+raw+gain,0.55,0.7901,0.6841,0.2099,4.476,4.019,0.2984,0.2358,0.0000,-0.02078,-0.00380,-0.01133,-0.15472,0.13528,0.00053,8,1,HELD
0,G2+raw+gain,0.55,0.7972,0.6836,0.2028,6.500,4.973,0.4333,0.3455,0.0000,-0.02223,-0.01441,-0.02533,-0.15472,0.13528,0.00814,8,1,HELD
0,G2+raw+gain,0.55,0.8010,0.6830,0.1990,2.322,2.216,0.1548,0.1240,0.0000,-0.02424,-0.01898,-0.02288,-0.15472,0.13528,0.00723,8,1,HELD
0,G2+raw+gain,0.55,0.8021,0.6828,0.1979,5.560,4.426,0.3706,0.2973,0.0000,-0.02574,-0.02055,-0.02989,-0.15472,0.13528,0.00465,8,1,HELD
0,G2+raw+gain,0.55,0.8026,0.6827,0.1974,1.972,2.096,0.1314,0.1055,0.0000,-0.02671,-0.02136,-0.02467,-0.15472,0.13528,0.00304,8,1,HELD
0,G2+raw+gain,0.55,0.8027,0.6827,0.1973,5.462,4.368,0.3641,0.2923,0.0000,-0.02731,-0.02174,-0.03092,-0.15472,0.13528,0.00177,8,1,HELD
0,G2+raw+gain,0.55,0.8030,0.6827,0.1970,1.881,2.063,0.1254,0.1007,0.0000,-0.02768,-0.02210,-0.02526,-0.15472,0.13528,0.00097,8,1,HELD
0,G2+raw+gain,0.55,0.8030,0.6827,0.1970,5.413,4.346,0.3609,0.2898,0.0000,-0.02791,-0.02222,-0.03131,-0.15472,0.13528,0.00067,8,1,HELD
0,G2+raw+gain,0.55,0.8030,0.6827,0.1970,5.410,4.340,0.3606,0.2896,0.0000,-0.02806,-0.02232,-0.03141,-0.15472,0.13528,0.00043,8,1,HELD
0,G2+raw+gain,0.80,0.6467,0.7950,0.1990,5.979,3.867,0.3986,0.2578,0.0000,-0.02335,-0.01901,-0.02906,-0.15472,0.13528,0.01006,8,1,HELD
0,G2+raw+gain,0.80,0.2202,0.8440,0.2354,39.101,4.584,2.6068,0.5740,1.0000,-0.02191,0.02368,-0.04203,-0.15472,0.13528,0.04111,8,1,HELD
0,G2+raw+gain,0.80,0.7734,0.8479,0.2266,7.450,5.520,0.4967,0.3841,0.0000,-0.01805,-0.00448,-0.01700,-0.15472,0.13528,0.00628,8,1,HELD
0,G2+raw+gain,0.80,0.7703,0.8485,0.2297,2.502,1.927,0.1668,0.1285,0.0000,-0.02036,-0.01369,-0.01790,-0.15472,0.13528,0.01087,8,1,HELD
0,G2+raw+gain,0.80,0.7731,0.8479,0.2269,5.076,3.924,0.3384,0.2616,0.0000,-0.02297,-0.01860,-0.02713,-0.15472,0.13528,0.00928,8,1,HELD
