tick,joint,actual_x_deg,applied_target_x_deg,nominal_x_deg,tracking_err_deg,command_offset_deg,reference_dev_deg,limit_proximity,demand,solver_torque_nm,max_force_nm
354,thorax,17.16,9.59,9.59,7.57,0.00,7.57,0.343,0.050,0.0,1852.5
356,left_foot,-46.44,-27.00,-27.00,19.45,0.00,19.45,1.000,0.100,50.3,2137.5
356,right_foot,-46.35,-27.00,-27.00,19.37,0.00,19.37,1.000,0.101,43.9,2137.5
356,left_shank,123.81,114.00,114.00,9.81,0.00,9.81,0.854,0.042,6.3,2565.0
356,right_shank,123.97,114.00,114.00,9.97,0.00,9.97,0.855,0.040,6.8,2565.0
356,left_thigh,-115.03,-111.00,-111.00,4.03,0.00,4.03,0.959,0.031,0.0,2565.0
356,right_thigh,-115.43,-111.00,-111.00,4.43,0.00,4.43,0.962,0.030,0.0,2565.0
356,abdomen,16.09,6.40,6.40,9.70,0.00,9.70,0.358,0.066,0.0,1852.5
356,thorax,17.12,9.59,9.59,7.53,0.00,7.53,0.342,0.049,0.1,1852.5
358,left_foot,-46.42,-27.00,-27.00,19.43,0.21,19.43,1.000,0.101,46.0,2137.5
358,right_foot,-46.33,-27.00,-27.00,19.36,0.21,19.35,1.000,0.102,39.8,2137.5
358,left_shank,123.66,114.00,114.00,9.66,0.00,9.66,0.853,0.040,5.0,2565.0
358,right_shank,123.75,114.00,114.00,9.75,0.00,9.75,0.853,0.037,6.1,2565.0
358,left_thigh,-115.10,-111.00,-111.00,4.10,0.00,4.10,0.959,0.031,0.0,2565.0
358,right_thigh,-115.45,-111.00,-111.00,4.45,0.00,4.45,0.962,0.030,0.1,2565.0
358,abdomen,16.03,6.40,6.40,9.64,0.00,9.64,0.356,0.067,0.1,1852.5
358,thorax,17.10,9.59,9.59,7.51,0.00,7.51,0.342,0.049,0.1,1852.5
360,left_foot,-46.44,-27.00,-27.00,19.46,0.29,19.45,1.000,0.101,45.6,2137.5
360,right_foot,-46.36,-27.00,-27.00,19.38,0.29,19.37,1.000,0.102,39.6,2137.5
360,left_shank,123.49,114.00,114.00,9.49,0.00,9.49,0.852,0.039,4.5,2565.0
360,right_shank,123.50,114.00,114.00,9.50,0.00,9.50,0.852,0.036,5.6,2565.0
360,left_thigh,-115.15,-111.00,-111.00,4.16,0.00,4.16,0.960,0.031,0.0,2565.0
360,right_thigh,-115.45,-111.00,-111.00,4.45,0.00,4.45,0.962,0.030,0.1,2565.0
360,abdomen,16.00,6.40,6.40,9.61,0.00,9.61,0.356,0.067,0.1,1852.5
360,thorax,17.10,9.59,9.59,7.52,0.00,7.52,0.342,0.050,0.1,1852.5
362,left_foot,-46.49,-27.00,-27.00,19.51,0.35,19.50,1.000,0.101,47.7,2137.5
362,right_foot,-46.41,-27.00,-27.00,19.43,0.35,19.41,1.000,0.102,40.9,2137.5
362,left_shank,123.32,114.00,114.00,9.32,0.00,9.32,0.851,0.038,3.9,2565.0
362,right_shank,123.27,114.00,114.00,9.27,0.00,9.27,0.850,0.035,5.6,2565.0
362,left_thigh,-115.19,-111.00,-111.00,4.20,0.17,4.20,0.960,0.031,0.0,2565.0
362,right_thigh,-115.44,-111.00,-111.00,4.44,0.17,4.44,0.962,0.030,0.0,2565.0
362,abdomen,15.98,6.40,6.40,9.59,0.00,9.59,0.355,0.067,0.1,1852.5
362,thorax,17.13,9.59,9.59,7.54,0.00,7.54,0.343,0.050,0.1,1852.5
364,left_foot,-46.56,-26.97,-26.97,19.61,0.42,19.60,1.000,0.103,50.4,2137.5
364,right_foot,-46.46,-26.97,-26.97,19.51,0.42,19.49,1.000,0.103,42.9,2137.5
364,left_shank,123.18,113.76,113.76,9.42,0.00,9.42,0.850,0.052,3.9,2565.0
364,right_shank,123.06,113.76,113.76,9.30,0.00,9.30,0.849,0.049,5.3,2565.0
364,left_thigh,-115.22,-110.78,-110.78,4.44,0.21,4.44,0.960,0.046,0.0,2565.0
364,right_thigh,-115.42,-110.78,-110.78,4.64,0.21,4.65,0.962,0.045,0.0,2565.0
364,abdomen,15.98,6.40,6.40,9.59,0.00,9.59,0.355,0.067,0.0,1852.5
364,thorax,17.15,9.59,9.59,7.56,0.00,7.56,0.343,0.050,0.1,1852.5
366,left_foot,-46.60,-26.90,-26.90,19.72,0.47,19.70,1.000,0.101,50.0,2137.5
366,right_foot,-46.48,-26.90,-26.90,19.60,0.47,19.59,1.000,0.101,41.5,2137.5
366,left_shank,123.24,113.28,113.28,9.96,0.00,9.96,0.850,0.060,5.8,2565.0
366,right_shank,123.05,113.28,113.28,9.77,0.00,9.77,0.849,0.056,5.3,2565.0
366,left_thigh,-115.38,-110.33,-110.33,5.05,0.23,5.05,0.962,0.054,0.0,2565.0
366,right_thigh,-115.54,-110.33,-110.33,5.21,0.24,5.21,0.963,0.052,0.0,2565.0
366,abdomen,15.80,6.40,6.40,9.40,0.00,9.40,0.351,0.059,0.0,1852.5
366,thorax,17.18,9.59,9.59,7.59,0.00,7.59,0.344,0.050,0.0,1852.5
368,left_foot,-46.66,-26.83,-26.83,19.85,0.51,19.83,1.000,0.102,53.1,2137.5
368,right_foot,-46.52,-26.83,-26.83,19.71,0.51,19.69,1.000,0.102,43.1,2137.5
368,left_shank,123.30,112.81,112.81,10.49,0.00,10.49,0.850,0.063,5.4,2565.0
368,right_shank,123.04,112.81,112.81,10.22,0.00,10.22,0.849,0.059,6.1,2565.0
368,left_thigh,-115.48,-109.90,-109.90,5.58,0.26,5.58,0.962,0.056,0.0,2565.0
368,right_thigh,-115.57,-109.90,-109.90,5.67,0.25,5.67,0.963,0.053,0.0,2565.0
368,abdomen,15.67,6.40,6.40,9.28,0.00,9.28,0.348,0.061,0.0,1852.5
368,thorax,17.21,9.59,9.59,7.62,0.00,7.63,0.344,0.049,0.1,1852.5
370,left_foot,-46.74,-26.77,-26.77,19.99,0.54,19.97,1.000,0.102,57.6,2137.5
