tick,hip_left_deg,hip_right_deg,physx_contact,physx_impulse,left_overlap,left_penetration_m,left_surface_gap_m,right_overlap,right_penetration_m,right_surface_gap_m,contact_offset_sum_m,hip_track_err_deg
138,48.59,48.99,0,0.000,0,0.00000,0.02470,0,0.00000,0.02549,0.0200,7.79
139,49.13,49.52,0,0.000,0,0.00000,0.02388,0,0.00000,0.02465,0.0200,7.78
140,49.67,50.07,0,0.000,0,0.00000,0.02306,0,0.00000,0.02382,0.0200,7.75
141,50.21,50.61,0,0.000,0,0.00000,0.02222,0,0.00000,0.02295,0.0200,7.73
142,50.76,51.16,0,0.000,0,0.00000,0.02138,0,0.00000,0.02209,0.0200,7.70
143,51.31,51.71,0,0.000,0,0.00000,0.02053,0,0.00000,0.02122,0.0200,7.67
144,51.86,52.27,0,0.000,0,0.00000,0.01968,0,0.00000,0.02036,0.0200,7.63
145,52.41,52.81,0,0.000,0,0.00000,0.01882,0,0.00000,0.01947,0.0200,7.59
146,52.96,53.37,1,0.000,0,0.00000,0.01797,0,0.00000,0.01861,0.0200,7.55
147,53.51,53.92,1,0.000,0,0.00000,0.01711,0,0.00000,0.01772,0.0200,7.51
148,54.07,54.47,1,0.000,0,0.00000,0.01626,0,0.00000,0.01685,0.0200,7.46
149,54.61,55.02,1,0.000,0,0.00000,0.01538,0,0.00000,0.01596,0.0200,7.42
150,55.17,55.58,1,0.000,0,0.00000,0.01451,0,0.00000,0.01507,0.0200,7.37
151,55.72,56.13,1,0.000,0,0.00000,0.01362,0,0.00000,0.01415,0.0200,7.31
152,56.28,56.69,1,0.000,0,0.00000,0.01274,0,0.00000,0.01325,0.0200,7.25
153,56.83,57.24,1,0.000,0,0.00000,0.01184,0,0.00000,0.01233,0.0200,7.19
154,57.39,57.80,1,0.000,0,0.00000,0.01095,0,0.00000,0.01143,0.0200,7.12
155,57.94,58.35,1,0.000,0,0.00000,0.01005,0,0.00000,0.01051,0.0200,7.06
156,58.50,58.91,1,0.000,0,0.00000,0.00916,0,0.00000,0.00960,0.0200,6.99
157,59.05,59.46,1,0.000,0,0.00000,0.00830,0,0.00000,0.00872,0.0200,6.91
158,59.60,60.00,1,0.000,0,0.00000,0.00740,0,0.00000,0.00781,0.0200,6.85
159,60.15,60.56,1,0.000,0,0.00000,0.00652,0,0.00000,0.00690,0.0200,6.77
160,60.69,61.10,1,0.000,0,0.00000,0.00560,0,0.00000,0.00597,0.0200,6.69
161,61.24,61.66,1,0.000,0,0.00000,0.00471,0,0.00000,0.00505,0.0200,6.60
162,61.79,62.20,1,0.000,0,0.00000,0.00379,0,0.00000,0.00413,0.0200,6.52
163,62.34,62.75,1,0.000,0,0.00000,0.00290,0,0.00000,0.00322,0.0200,6.43
164,62.88,63.30,1,0.000,0,0.00000,0.00199,0,0.00000,0.00229,0.0200,6.34
165,63.43,63.84,1,0.000,0,0.00000,0.00110,0,0.00000,0.00139,0.0200,6.24
166,63.97,64.38,1,0.223,0,0.00000,0.00023,0,0.00000,0.00048,0.0200,6.15
167,64.51,64.92,1,2.705,1,0.00029,0.00000,1,0.00026,0.00000,0.0200,6.04
168,64.97,65.36,1,4.094,1,0.00067,0.00000,1,0.00058,0.00000,0.0200,6.03
169,65.35,65.72,1,5.227,1,0.00097,0.00000,1,0.00079,0.00000,0.0200,6.11
170,65.66,65.99,1,6.076,1,0.00120,0.00000,1,0.00092,0.00000,0.0200,6.25
171,65.94,66.22,1,6.502,1,0.00134,0.00000,1,0.00102,0.00000,0.0200,6.44
172,66.18,66.40,1,6.688,1,0.00144,0.00000,1,0.00110,0.00000,0.0200,6.69
173,66.40,66.55,1,6.724,1,0.00149,0.00000,1,0.00115,0.00000,0.0200,6.94
174,66.60,66.69,1,6.655,1,0.00153,0.00000,1,0.00120,0.00000,0.0200,7.21
175,66.79,66.81,1,6.509,1,0.00154,0.00000,1,0.00124,0.00000,0.0200,7.49
176,66.97,66.92,1,6.335,1,0.00155,0.00000,1,0.00127,0.00000,0.0200,7.78
177,67.15,67.03,1,6.186,1,0.00155,0.00000,1,0.00131,0.00000,0.0200,8.05
178,67.33,67.13,1,6.076,1,0.00156,0.00000,1,0.00135,0.00000,0.0200,8.33
179,67.50,67.23,1,6.021,1,0.00158,0.00000,1,0.00139,0.00000,0.0200,8.62
180,67.67,67.33,1,6.039,1,0.00161,0.00000,1,0.00143,0.00000,0.0200,8.88
181,67.84,67.44,1,6.146,1,0.00166,0.00000,1,0.00149,0.00000,0.0200,9.14
182,68.01,67.55,1,6.297,1,0.00171,0.00000,1,0.00154,0.00000,0.0200,9.40
183,68.18,67.66,1,6.494,1,0.00178,0.00000,1,0.00162,0.00000,0.0200,9.62
184,68.38,67.79,1,6.697,1,0.00184,0.00000,1,0.00168,0.00000,0.0200,9.79
