case,step,time_s,bar_y,bar_z,bar_vy,bar_vz,pelvis_y,pelvis_z,pelvis_vy,pelvis_vz,thorax_y,thorax_z,trunk_pitch_deg,ke,saddle_sep,saddle_att,contacts,com_ap,cop_ap,abd_bias_deg,tho_bias_deg,abd_tgt_rate,tho_tgt_rate,abd_act_deg,tho_act_deg,abd_demand,tho_demand,ankle_bal_deg
R00,33,0.330,1.0435,-0.1657,-0.4491,-0.1625,0.9292,0.1231,-0.1010,-0.1214,1.1622,-0.0590,-38.02,21.9,0.0515,1,8,-0.0751,-0.0164,-0.62,0.15,0.0957,0.1435,-34.75,-24.55,0.1836,0.1467,0.00
R00,34,0.340,1.0394,-0.1675,-0.4203,-0.1634,0.9284,0.1214,-0.0833,-0.1680,1.1596,-0.0622,-38.45,21.3,0.0515,1,8,-0.0764,-0.0157,-0.63,0.15,0.0957,0.1435,-34.85,-24.56,0.1831,0.1488,0.00
R00,35,0.350,1.0355,-0.1692,-0.3828,-0.1851,0.9273,0.1195,-0.0939,-0.1931,1.1569,-0.0653,-38.82,20.2,0.0513,1,8,-0.0779,-0.0143,-0.65,0.16,0.0957,0.1435,-34.84,-24.52,0.1819,0.1473,0.00
R00,36,0.360,1.0321,-0.1712,-0.3362,-0.1932,0.9263,0.1172,-0.0971,-0.2214,1.1546,-0.0684,-39.12,17.9,0.0515,1,8,-0.0794,-0.0135,-0.67,0.16,0.0954,0.1430,-34.87,-24.51,0.1845,0.1495,-0.64
R00,37,0.370,1.0290,-0.1732,-0.3027,-0.2163,0.9253,0.1148,-0.0989,-0.2527,1.1520,-0.0714,-39.40,16.9,0.0513,1,8,-0.0812,-0.0147,-0.69,0.16,0.0954,0.1430,-34.85,-24.47,0.1846,0.1498,0.00
R00,38,0.380,1.0262,-0.1754,-0.2762,-0.2174,0.9246,0.1122,-0.0938,-0.2827,1.1498,-0.0745,-39.66,16.3,0.0512,1,8,-0.0831,-0.0128,-0.71,0.17,0.0954,0.1430,-35.12,-24.41,0.1970,0.1485,-0.57
R00,39,0.390,1.0236,-0.1777,-0.2481,-0.2362,0.9237,0.1094,-0.0976,-0.3034,1.1477,-0.0777,-39.88,16.0,0.0512,1,8,-0.0851,-0.0138,-0.72,0.17,0.0954,0.1430,-35.21,-24.43,0.1970,0.1499,0.00
R00,40,0.400,1.0215,-0.1802,-0.2105,-0.2398,0.9226,0.1065,-0.0897,-0.3293,1.1464,-0.0814,-40.02,15.7,0.0515,1,8,-0.0872,-0.0129,-0.74,0.18,0.0946,0.1419,-35.22,-24.49,0.1985,0.1519,0.00
R00,41,0.410,1.0197,-0.1828,-0.1725,-0.2667,0.9217,0.1031,-0.0898,-0.3445,1.1449,-0.0850,-40.12,16.1,0.0513,1,8,-0.0895,-0.0146,-0.76,0.18,0.0946,0.1419,-34.69,-24.60,0.1813,0.1557,0.00
R00,42,0.420,1.0183,-0.1856,-0.1339,-0.3023,0.9208,0.0997,-0.0871,-0.3446,1.1439,-0.0883,-40.13,15.9,0.0515,1,8,-0.0919,-0.0159,-0.78,0.19,0.0946,0.1419,-34.44,-24.64,0.1861,0.1553,-1.20
